"State", "Overall Graduation Rate", "American Indian/Alaska Native Graduation Rate", "Asian/Pacific Islander Graduation Rate", "Hispanic Graduation Rate", "Black Graduation Rate", "White Graduation Rate"
"Alabama","89.3%","N/A","95%","88%","86.5%","91%"
"Alaska","78.2%","69%","84%","77%","74%","82.2%"
"Arizona","78.0%","66.8%","89%","74.5%","73.8%","82.8%"
"Arkansas","88.0%","89%","86%","85.7%","83.4%","90%"
"California","82.7%","68.2%","92.6%","80.3%","73.1%","87.3%"
"Colorado","79.1%","64%","89%","71.1%","71.9%","83.9%"
"Connecticut","87.9%","88%","95%","77.7%","80.1%","92.8%"
"Delaware","86.9%","76%","95%","82%","83.2%","89.9%"
"District of Columbia","73.2%", "82%", "78%","72%","72.4%","85%"
"Florida","82.3%","80%","92.9%","81.3%","74.8%","86.2%"
"Georgia","80.6%","79%","91.2%","73.6%","77.8%","84.0%"
"Hawaii","82.7%","79%","83.5%","80%","79%","80%"
"Idaho","79.7%","66%","85%","74.8%","70%","81.1%"
"Illinois","87.0%","81%","94.5%","83.5%","78.9%","90.6%"
"Indiana","83.8%","76%","80%","75.8%","70.8%","87.5%"
"Iowa","91.0%","83%","91%","82.4%","82%","92.7%"
"Kansas","86.5%","81%","93%","81.1%","78%","88.8%"
"Kentucky","89.7%","77%","92%","84%","81.6%","91.2%"
"Louisiana","78.1%","81%","90%","67%","72.8%","83.7%"
"Maine","86.9%","71%","89%","89%","83%","87.4%"
"Maryland","87.7%","86%","96.2%","74.0%","85.4%","92.7%"
"Massachusetts","88.3%","81%","93.9%","74.4%","80.0%","92.6%"
"Michigan","80.2%","68%","90.5%","73.3%","68.6%","83.7%"
"Minnesota","82.7%","51%","85.2%","66.3%","64.8%","88.1%"
"Mississippi","83.0%","80%","91%","81%","79.3%","87.1%"
"Missouri","88.3%","84%","91%","84.4%","75.9%","91.4%"
"Montana","85.8%","69%","91%","80%","81%","88.7%"
"Nebraska","89.1%","70%","82%","81.6%","81%","92.5%"
"Nevada","80.9%","74%","91%","79.7%","67.7%","84.2%"
"New Hampshire","88.9%","75%","93%","76%","79%","89.8%"
"New Jersey","90.5%","92%","96.6%","84.3%","83.4%","94.5%"
"New Mexico","71.1%","61%","85%","70.5%","68%","76.4%"
"New York","81.8%","67%","87.7%","71.2%","71.5%","89.8%"
"North Carolina","86.6%","84%","93.8%","80.6%","83.9%","89.3%"
"North Dakota","87.2%","68%","80%","76%","75%","90.5%"
"Ohio","84.2%","76%","88%","73.6%","68.6%","88.2%"
"Oklahoma","82.6%","82.7%","86%","79.3%","80.3%","83.7%"
"Oregon","76.7%","59%","86%","72.5%","68%","78.0%"
"Pennsylvania","86.6%","73%","92.4%","73.8%","73.8%","91.0%"
"Rhode Island","84.1%","73%","88%","76%","81%","87.7%"
"South Carolina","83.6%","76%","93%","80.5%","81.3%","85.2%"
"South Dakota","83.7%","50%","85%","71%","78%","89.5%"
"Tennessee","89.8%","89%","94%","83.8%","84.0%","92.6%"
"Texas","89.7%","86%","95.8%","87.7%","86.1%","93.6%"
"Utah","86.0%","74%","87%","77.3%","73%","88.3%"
"Vermont","89.1%",,"82%","90%","77%","89.8%"
"Virginia","86.9%","83%","93.4%","73.0%","82.8%","91.3%"
"Washington","79.4%","62%","85.3%","72.7%","71.5%","81.9%"
"West Virginia","89.4%",,"92%","92%","87%","89.5%"
"Wisconsin","88.6%","79%","91%","80.3%","67.0%","92.7%"
"Wyoming","86.2%","59%","84%","80%","83%","87.5%"
